user_id,first_name,last_name,version,insurance_company
gmoyes2f,Giovanni,Moyes,7,Guidewell Mutual Holding
jtexton2g,Jody,Texton,2,Blue Cross of California
maverall2h,Mora,Averall,9,Kaiser Foundation
tbarnett2i,Tabina,Barnett,8,California Physicians Service
wshynn2j,Wilfrid,Shynn,8,Anthem Inc
gtettersell2k,Gwennie,Tettersell,8,United Health
sdarnborough2l,Saree,Darnborough,8,Anthem Inc
gmaldin2m,Gerek,Maldin,6,CVS
gburkhill2n,Gibb,Burkhill,4,Humana
jbennion2o,Jourdain,Bennion,1,California Physicians Service
keastway2p,Kim,Eastway,9,California Physicians Service
cdouse2q,Carmon,Douse,4,United Health
dfranca2r,Dav,Franca,1,Molina Healthcare
